steps,x_sun,y_sun,x_earth,y_earth,x_moon,y_moon
0,0.000000000000000000000000000000,0.000000000000000000000000000000,1.000000000000000000000000000000,0.000000000000000000000000000000,1.002569999999999961204366627499,0.000000000000000000000000000000
1,0.000000005999228027669033866899,0.000000000125737147100339164646,0.998037125987055850906415344070,0.062793670556296796170236973467,0.999761680222475690449357443867,0.064691590380769603552124635826
2,0.000000023973172838977214831815,0.000000001005148138312395807382,0.992149482374082847258023321046,0.125355081884204966335971676017,0.991899719483755992754936414713,0.127865138836402214561616119681
3,0.000000053850722636869138443283,0.000000003388911634720085367620,0.982344181152672524248714580608,0.187443181237560152485599473948,0.980330702625279659656598596484,0.188798531944264352810947116268
4,0.000000095513679680982611129532,0.000000008021724750948608813362,0.968643494079317157741115806857,0.248803885322432527527070078577,0.966443268963188439890643621766,0.247990859872801172603118402549
5,0.000000148797231912135975442576,0.000000015639340162490076872930,0.951098596420244302152013915475,0.309174094681944677809326549323,0.950538064344129463023591597448,0.306916266443751806214379485027
6,0.000000213490611398483825175573,0.000000026965644264907255091092,0.929795555975019949457305301621,0.368300512270070046216829950936,0.931323048188581581463552083733,0.366573197688717711262285092744
7,0.000000289337944372239615505564,0.000000042709784612832751760045,0.904840970420958234932129471417,0.425955407314089706805049218019,0.907058082385011621440185081156,0.426280645997349050269065173779
8,0.000000376039279936072047540402,0.000000063563352412811874245326,0.876342076404497571928686738829,0.481934372792199750001884694939,0.877144097516787790702608162974,0.483936713543093477429835047587
9,0.000000473251788338014433543655,0.000000090197637738498094196415,0.844395088537410853923859122006,0.536038325370485235765727338730,0.843038628339768281172439401416,0.537556199427484782127351081726
10,0.000000580591135893218292911842,0.000000123260972957021431534126,0.809095548564940925118094128266,0.588048946215040224672065960476,0.807377275161179408513589805807,0.587339016149832748858727882180
11,0.000000697633028482752617475428,0.000000163376165333312424138512,0.770575381596574793263698666124,0.637723963560380857629183992685,0.770919480939735835001158648083,0.636123178434265135194891627179
12,0.000000823914906279871894377240,0.000000211138031982190978132877,0.729031906645078331408171834482,0.684849582111194399303144564328,0.730144280912954024564953670051,0.685189332456243915814297906763
13,0.000000958937795192055857933949,0.000000267111054016148338473990,0.684655623026438675537974631879,0.729288943110779186440595367458,0.683070716320411275290780395153,0.730384741477034804546519808355
14,0.000001102168301809964568447383,0.000000331827149182942343257692,0.637528520767767226118394319201,0.770878174380965064393933516840,0.637470582481342362690668323921,0.770634071197563552679810072732
15,0.000001253040857632087736725284,0.000000405783647500508769949184,0.587746118198143263633426158776,0.809062793730706997230583965575,0.600886772849576922261860545404,0.837552370023110115404563202901
16,0.000001410959998151264701207329,0.000000489441459077189972679705,0.535647185183756535664656439621,0.844053471159677659585440778756,0.561896492629826549425331450038,0.901538233592300342067460405815
17,0.000001575303007176064671993922,0.000000583223765583788133397627,0.481432264352593730638574243130,0.875709774943689178705596987129,0.521051586719030845884503833076,0.962553864959751814822652704606
18,0.000001745422197707075784696646,0.000000687514482563048528111326,0.425313523619542777076674155978,0.903902993954502909090820139681,0.478634707026014238895328389845,1.020671450221974252414725015115
19,0.000001920647176270911956713584,0.000000802656822859508500077439,0.367511088822500331385612071244,0.928517803716231160393590471358,0.434896159250231839621392282424,1.075976601186968473200522566913
20,0.000002100287238939803074620673,0.000000928951954468403195616915,0.308252210313820385056970962978,0.949452764006425753429141423112,0.390056802090086529588575103844,1.128564230750441543804640787130
21,0.000002283633863300768011199513,0.000001066657765690358417086468,0.247770398773109523649083030250,0.966620775862938819145142588241,0.344310851550195029524559231504,1.178534823944868303868815928581
22,0.000002469963295805902732518505,0.000001215987752637126664877545,0.186304529612696612161926168483,0.979949488005935287482373041712,0.297828656841372774177756355130,1.225991509615824925916172105644
23,0.000002658539230385157998602045,0.000001377110043320214054088715,0.124097918417960917381037688756,0.989381648922494472131461407116,0.250759360815247411835571256233,1.271037852579909088746035195072
24,0.000002848615571454678367045157,0.000001550146571319294836068360,0.061397370511309223850560101710,0.994875401901395561843344239605,0.203233379697385002637943784976,1.313776234986051338893275897135
25,0.000003039439272352652232059202,0.000001735172410608234453875068,-0.001547791945554377601723672342,0.996404520684017636078522173193,0.155364667262702843553157094902,1.354306703254795074542471411405
26,0.000003230253238631261683598897,0.000001932215281645336781485072,-0.064486721643582739504907408445,0.993958583657195138272300027893,0.107252751440115992598300920235,1.392726175661571863528820358624
27,0.000003420299284403247443240442,0.000002141255237376211250076860,-0.127168052720208424322123619277,0.987543084759759381974220104894,0.058984546346324641385994169696,1.429127925109380914392431805027
28,0.000003608821128989526395272527,0.000002362224536377704355022541,-0.189340918156676418782069504232,0.977179479532586769963131700933,0.010635951771334625770570880832,1.463601269088407264007400954142
29,0.000003795067420371667330121490,0.000002595007708993265712910797,-0.250755973692800226970689436712,0.962905165019748987553782626492,-0.037726743022577384489846252791,1.496231413538080756708836815960
30,0.000003978294771373230959122212,0.000002839441820967323012358174,-0.311166423805426139992391654232,0.944773392527673672169896690320,-0.086045632260612556208023704585,1.527099409339855329292845453892
31,0.000004157770794047113628762180,0.000003095316937768599984781397,-0.370329045151938540669789290405,0.922853112569781530716284123628,-0.134270124134673318749833015318,1.556282189773190438586425443646
32,0.000004332777117414413563896078,0.000003362376791490097044238280,-0.428005202760638636672041457132,0.897228751664521984032774071238,-0.182356010301877535795256335405,1.583852664836759682742695076740
33,0.000004502612373474754960849583,0.000003640319650919083293471234,-0.483961854158511339818460328388,0.867999921013062891717027014238,-0.230264657219837826085395704467,1.609879854240621632754937309073
34,0.000004666595136284815320581228,0.000003928799394079326012666539,-0.537972536566325931772780677420,0.835281057456578102105027028301,-0.277962303725648396390823791080,1.634429045442586714287358518050
35,0.000004824066798880829723330122,0.000004227426781258504310514936,-0.589818332263513767088625172619,0.799200997499151633007841155631,-0.325419450933967124850454410989,1.657561966612854931213405507151
36,0.000004974394372903817705558558,0.000004535770925247802172681263,-0.639288807232819222825526139786,0.759902485577455433229943082551,-0.372610332161077084656142233143,1.679336967094811949863242261927
37,0.000005116973195975607204368830,0.000004853360954242216281214958,-0.686182918238944838940085446666,0.717541618158902716473335203773,-0.419512452111239331209446845605,1.699809199971281215013618748344
38,0.000005251229532171797540580568,0.000005179687861585503529061533,-0.730309883577489604711274751025,0.672287225652019593269415054237,-0.466106185956672414150148142653,1.719030802890873621535661186499
39,0.000005376623051346292673764813,0.000005514206535301067868125747,-0.771490012851124173920425164397,0.624320194512184345470018342894,-0.512374430191360974440328845958,1.737051074473091594185802932770
40,0.000005492649173581583949520224,0.000005856337959138941670145587,-0.809555491289354112183218603604,0.573832732318402705118387530092,-0.558302298242279837481305548863,1.753916644482834685803140928329
41,0.000005598841265668889797754455,0.000006205471575699844920563295,-0.844351114326075791183257024386,0.521027578978075944782233364094,-0.603876854787287031811615634069,1.769671636614025489464552265417
42,0.000005694772677260334704817980,0.000006560967801081118581972909,-0.875734968384543344122050712031,0.466117167582450087071066491262,-0.649086883568305572644874246180,1.784357823201478954189269643393
43,0.000005780058605177799434314372,0.000006922160679437423657517098,-0.903579054090927313858117031486,0.409322738781350337067266309532,-0.693922684214387186507622118370,1.798014771530791700016038703325
44,0.000005854357775304486370747219,0.000007288360664872593010265092,-0.927769848443384281821977310756,0.350873412867810152704350912245,-0.738375894214931660641809685330,1.810679981669252036624584434321
45,0.000005917373932518595256693957,0.000007658857517188706663744530,-0.948208802800994843273940659856,0.291005224057424904948732091725,-0.782439332721240221601988196198,1.822389015920550914273690068512
46,0.000005968857130245331087678787,0.000008032923297224300158113353,-0.964812773923086841598717455781,0.229960121710133830186251202576,-0.826106863316263595464761237963,1.833175620130686356290539151814
47,0.000006008604812393828434747677,0.000008409815446824775309465731,-0.977514385680922193166964007105,0.167984943470462805281684381953,-0.869373273288269410308259921294,1.843071837155838110788863559719
48,0.000006036462681698404262307413,0.000008788779937912373060242104,-0.986262319476671978080162261904,0.105330365493281882804943450083,-0.912234167283412111792983978376,1.852108112855754162850985267141
49,0.000006052325349786631030011425,0.000009169054474667152624853782,-0.991021531834887503542574904714,0.042249835073566707754899596239,-0.954685873502910564702972351370,1.860313395006384595831150363665
50,0.000006056136765637095602330536,0.000009549871732499199065004152,-0.991773398074877965413520541915,-0.021001508891247494537068973841,-0.996725360859723186202074884932,1.867715225539217316352846864902
51,0.000006047890420453721372761203,0.000009930462617289270501621211,-0.988515781423923378667950601084,-0.084167922110156057069474400123,-1.038350165723296525399632628250,1.874339826516643325859945434786
52,0.000006027629328357270219304522,0.000010310059528301924382134684,-0.981263027386373165583677291579,-0.146994142258110971344109429992,-1.079558327064337630574186732701,1.880212180246159325847088439332
53,0.000005995445783663966228841866,0.000010687899608231747410839324,-0.970045883637657757603278696479,-0.209226471984275269599962143729,-1.120348328969051676651247362315,1.885356103923936599287003446079
54,0.000005951480896872181197145794,0.000011063227964027995731707658,-0.954911346160381868664046578488,-0.270613852128369525296136544057,-1.160719049627690457882067676110,1.889794319182175552640501337009
55,0.000005895923912797204625958151,0.000011435300842452013946677798,-0.935922432777419821547937317519,-0.330908919807171408855595018395,-1.200669716018790689204820409941,1.893548516896182754010169446701
56,0.000005829011315568310907055984,0.000011803388744750390059357233,-0.913157885659935608657633565599,-0.389869046175659705877336591584,-1.240199863610895958387914106424,1.896639417587317577584826722159
57,0.000005751025726419538822056354,0.000012166779465368023606061144,-0.886711804792441826705839957867,-0.447257348847259983415369788418,-1.279309300490192535804112594633,1.899086827737627825030131134554
58,0.000005662294601354613079221677,0.000012524781040271345064094841,-0.856693214758659893348635705479,-0.502843674172491317264643839735,-1.317998075397327273350356335868,1.900909692311685494914286209678
59,0.000005563188736837415055607250,0.000012876724591193483337786194,-0.823225567567716143280165397300,-0.556405544821969910707082362933,-1.356266449221412262460262354580,1.902126143761244891905448639591
