Open	High	Low	Close	Adj_Close	Volume
9522.3291015625	9701.759765625	9437.3359375	9607.423828125	9607.423828125	13829811132
3686.97314453125	3698.978271484375	3653.810791015625	3661.301025390625	3661.301025390625	4778170883
59027.46875	61184.08203125	58786.2265625	59388.1796875	59388.1796875	32224990582
19910.537109375	21075.142578125	19907.828125	20976.298828125	20976.298828125	38967784639
3857.479736328125	3888.802490234375	3787.058837890625	3851.04736328125	3851.04736328125	8301309684
56714.53125	57939.36328125	49150.53515625	49150.53515625	49150.53515625	75215403907
7325.755859375	7357.02001953125	7220.9912109375	7275.15576171875	7275.15576171875	21559505149
8161.935546875	8396.73828125	7956.7744140625	8079.86279296875	8079.86279296875	31672559265
6288.490234375	6363.2099609375	6280.14990234375	6290.93017578125	6290.93017578125	3085320000
27768.392578125	28439.5625	27439.646484375	28175.81640625	28175.81640625	36102192830
6630.509765625	7050.5400390625	6630.509765625	6911.08984375	6911.08984375	3976610048
26439.373046875	28288.83984375	25922.76953125	26272.294921875	26272.294921875	66479895605
2869.3798828125	2869.3798828125	2700.56005859375	2732.159912109375	2732.159912109375	1517709952
47771.00390625	48160.921875	46832.5234375	47267.51953125	47267.51953125	28727713711
49207.27734375	52533.9140625	49072.37890625	52149.0078125	52149.0078125	80820545404
4200.7333984375	4301.51953125	4110.978515625	4139.8779296875	4139.8779296875	5262697895
4345.10009765625	4416.58984375	4317.2900390625	4382.8798828125	4382.8798828125	1537459968
40075.55078125	40254.48046875	39545.6640625	39933.80859375	39933.80859375	18491782013
11392.6357421875	11698.4677734375	11240.6865234375	11555.36328125	11555.36328125	26163972642
64158.12109375	64915.67578125	63303.734375	64469.52734375	64469.52734375	30474228777
1187.4599609375	1208.0699462890625	1187.4599609375	1205.010009765625	1205.010009765625	216182000
6295.4501953125	6625.0498046875	5519.009765625	5950.06982421875	5950.06982421875	8957349888
4032.69189453125	4082.216064453125	4023.8125	4071.190185546875	4071.190185546875	9344919956
5204.10546875	5421.6513671875	5193.38232421875	5324.5517578125	5324.5517578125	15504590933
7361.4599609375	7388.43017578125	6792.830078125	6792.830078125	6792.830078125	5800460000
60609.49609375	60780.5	56555.29296875	58254.01171875	58254.01171875	48439780271
4073.7900390625	4094.070068359375	3868.8701171875	3924.969970703125	3924.969970703125	1563980032
3866.839111328125	3868.742919921875	3725.867431640625	3742.700439453125	3742.700439453125	4661840806
58969.80078125	59062.0703125	57217.82421875	57325.48828125	57325.48828125	24592449997
39098.69921875	39778.94140625	37268.9765625	37709.78515625	37709.78515625	23450127612
38605.859375	38771.2109375	37697.94140625	37714.875	37714.875	23895713731
2567.56005859375	2588.830078125	2510.47998046875	2539.320068359375	2539.320068359375	949979008
51769.00390625	52700.94140625	51053.6796875	52633.53515625	52633.53515625	38884105426
58706.84765625	59266.359375	55679.83984375	56289.2890625	56289.2890625	35036121783
21308.3515625	23642.66015625	21234.67578125	22805.162109375	22805.162109375	71378606374
60793.35546875	61451.15234375	60492.625	60793.7109375	60793.7109375	13842272968
7949.6748046875	7975.97412109375	7583.2197265625	7688.0771484375	7688.0771484375	16610726547
8867.3203125	9281.509765625	8727.08984375	9281.509765625	9281.509765625	8970559488
10369.0283203125	10434.9228515625	10140.8369140625	10400.9150390625	10400.9150390625	45201121775
27591.73046875	27979.982421875	27070.849609375	27525.33984375	27525.33984375	17703288330
42374.0390625	42478.3046875	41242.9140625	41744.328125	41744.328125	23091543258
10776.61328125	10945.34765625	10703.8935546875	10709.65234375	10709.65234375	47762394731
40118.1015625	40119.890625	38112.8125	38431.37890625	38431.37890625	18340576452
27795.2734375	28433.7421875	27681.3046875	28168.08984375	28168.08984375	15284538859
55963.1796875	58091.0625	54484.59375	57805.12109375	57805.12109375	56772343595
3651.87109375	3680.135986328125	3621.9609375	3678.56396484375	3678.56396484375	5464420383
37599.41015625	39478.953125	37243.97265625	39208.765625	39208.765625	35460750427
47098.0	48450.46875	46773.328125	48176.34765625	48176.34765625	30484496466
62431.65234375	62458.69921875	61657.2890625	62029.84765625	62029.84765625	23888473685
54851.88671875	58041.125	54598.43359375	57019.53515625	57019.53515625	34618096173
4228.2900390625	4427.83984375	3998.110107421875	4376.52978515625	4376.52978515625	2697969920
44180.01953125	44361.2578125	43627.59765625	43725.984375	43725.984375	17368210171
44505.35546875	46827.546875	44437.29296875	46820.4921875	46820.4921875	28160889722
16384.599609375	17085.80078125	16185.900390625	16564.0	16564.0	13777399808
5399.36572265625	5633.80224609375	5389.40869140625	5572.3623046875	5572.3623046875	15867308108
36753.66796875	42462.984375	35050.6171875	40782.73828125	40782.73828125	88281943359
47768.96875	48535.9375	47617.40625	48293.91796875	48293.91796875	19315867136
60632.484375	61469.0390625	59878.8046875	60759.40234375	60759.40234375	36106447279
29683.380859375	30287.482421875	29481.751953125	29918.412109375	29918.412109375	11541146996
11059.142578125	11442.2109375	11056.9404296875	11296.361328125	11296.361328125	22877978588
21028.23828125	21478.08984375	20620.19921875	20735.478515625	20735.478515625	20965695707
8939.4404296875	9100.7099609375	8564.900390625	8728.4697265625	8728.4697265625	5530390016
6301.56982421875	6374.97998046875	6292.759765625	6329.7001953125	6329.7001953125	3714100000
7410.4521484375	7781.8671875	7409.29296875	7769.21923828125	7769.21923828125	23276261598
9863.89453125	10129.435546875	9850.392578125	10116.673828125	10116.673828125	35807884663
10353.931640625	10558.673828125	10348.9189453125	10517.2548828125	10517.2548828125	15307366476
61850.48828125	62406.171875	60074.328125	61318.95703125	61318.95703125	32241199927
