steps,x,y,z
0,0.000000000000000000000000000000,1.000000000000000000000000000000,1.000000000000000000000000000000
1,0.095105827474427083333333333333,1.003062407364635815414223251029,0.974164602403670146692740483539
2,0.182654685403196440635249096583,1.030602388030738351726013297975,0.949930066637208452222302437242
3,0.265600199216850274414995298746,1.080792457137755889879946493912,0.927272596857615620001788241076
4,0.346478080311028988913186772103,1.152551920982989283018042371077,0.906247146051378917211869929394
5,0.427511753980713779647688089153,1.245443921953921987050866394100,0.886979919494584056068083556765
6,0.510699429913725770416670546546,1.359598344811311490632759270318,0.869668938331956985154866758928
7,0.597886612404832505401609201068,1.495655996465803532348407896164,0.854591150409611606795806431802
8,0.690827274962849170258729909765,1.654730357832232195517126243756,0.842115482875587474170227871577
9,0.791236299991325098167630765202,1.838383902286474174014978918623,0.832721901051625408771376738816
10,0.900835277342541658813387725214,2.048616497924127582230760560998,0.827027077375507184123715520984
11,1.021393338714827369626748340987,2.287863770737465390678267008823,0.825817754975264670430128950839
12,1.154764354166218120842026334821,2.559003504143874459016719499790,0.830093362776246725544553368294
13,1.302921510374972387824609262598,2.865368176480206462641176158863,0.841119938495963289202822870892
14,1.467990006035936849841069769847,3.210761567153658635653568494511,0.860497967206181622497172857146
15,1.652278315133454039076381010746,3.599476951131718216638989905519,0.890247361006311660747949307101
16,1.858308157993559697049970634388,4.036313684700985319398829841235,0.932913491856398650630059014064
17,2.088842952083782183662537591443,4.526587868748425567682265300108,0.991698927910502650697207780264
18,2.346914050919738682638756371805,5.076131129794457238553466155461,1.070626266225889107601105408581
19,2.635843470951013173348747958286,5.691269212312730225780131903518,1.174738103791338228736583312990
20,2.959260989889605394364425465073,6.378768810994963913896129933010,1.310340565905879411312806525761
21,3.321112395697427390197597145466,7.145736627657267601946356047242,1.485296610301415968171085393945
22,3.725654174788677510123329163714,7.999448729036337068580760610715,1.709374046356942392359292307821
23,4.177427935262518193047722349881,8.947080650056431383892333627376,1.994650061605906501255173237699
24,4.681205242309138273330339956442,9.995299211079013575501561106057,2.355967832030443542830144907221
25,5.241890189479144136098335360631,11.149665927935173579804907337316,2.811429757787417550829462070711
26,5.864362896336962786508550497871,12.413790155113024039124717078920,3.382893591187096315967011644193
27,6.553242321177586902828917056541,13.788160047375779908363922944282,4.096409108245732161187959762653
28,7.312541733070058517143300901161,15.268575716723750161745618726598,4.982490530093308121772220883032
29,8.145185894508929032891785235976,16.844119903020229510955635740128,6.076060692893803525576116234561
30,9.052357389425215049080822459043,18.494640454203354018400311930017,7.415826778314027008077904553991
31,10.032643893627903041399498158876,20.187805248249713048784698969228,9.042760875290043300331845123742
32,11.080973598493491341119190723741,21.875947697948959569269472340547,10.997281927871394203056404167972
33,12.187359291924673135332413676349,23.493171064351276399975207245985,13.314711379953792449522404464068
34,13.335530242174225689860259320204,24.953524604120689779948170495480,16.018675964010599445541964075858
35,14.501619870230597845539330448604,26.151456495730073843167363704239,19.112458398884163252181077766054
36,15.653192044083582179869921125975,26.966049676569258661242491298665,22.568949772469596243327270185602
37,16.749007086779817005074349790160,27.270500740273973351829613206558,26.320858744066357816416120397166
38,17.740000640209036737263695764738,26.947568885576441643103761879482,30.254004160675478771682350355756
39,18.571899132313808124402489087140,25.910043781787056358395372020404,34.207362217561647869627735246415
40,19.189648492045597666000538113206,24.122795983146231978611718265391,37.983271876203291946714666588393
41,19.543364727954477056746642287889,21.620525688310107076302884890368,41.369105501606495326249806591112
42,19.594919982408808720927948775243,18.514411233168356538965436724790,44.167815922668014508926042648384
43,19.323786612464628998812269864951,14.982866223311809061660797054403,46.230427825695681054550188887735
44,18.730659681104711973789622400062,11.246582396933847395168817395902,47.481136943705057384714069058952
45,17.837827271006465493840563699436,7.533957222449311541448680900046,47.927177159110871590372502437535
46,16.686145033704698764174563439911,4.046730710881825710606443993767,47.650841047798085894804531785369
47,15.329426884679918552291404854202,0.935071260690125323233129543523,46.787394016522079501990206697877
48,13.827675067593309837344641911630,-1.713019359642045810723045410994,45.496806368043004012663862867724
49,12.240631930483115102404721653048,-3.868604395800683856296617991218,43.937542298731137446685064620171
50,10.622728634952491911263093672962,-5.549507060642605910435092226122,42.247833620827723102905812212109
51,9.019901934592740738627638080122,-6.804391637556389331142782954567,40.536058165090679625681266624742
52,7.468214742407666444662127666918,-7.697708788574721105837215449723,38.878902954736437281697466265050
53,5.993891013369143286571747693504,-8.297977836856299204991953812495,37.324648130251652308325258029454
54,4.614268884700699873770668916105,-8.670068763320813478961297384053,35.898902922180946737573238984447
55,3.339220649209668468977034728035,-8.871014092500264296165052072837,34.610816809441688666822854789296
56,2.172702729009600277318930769675,-8.948417436116348646209975203628,33.458620343102597589449049108078
57,1.114223123525852035672467175035,-8.940506685973014683142583298584,32.434019390838474912185063165567
58,0.160116341407987052242340879322,-8.877070345739504410982090046237,31.525390319408712889676427369995
59,-0.695412819215181274219130061513,-8.780754763681114070437192796084,30.719936082986122832764382702104
60,-1.459472347007562003465024233848,-8.668407790996326899995459513778,30.005034751683979242952618686694
61,-2.139866893118189195346463343083,-8.552305226377272976853918420641,29.369006716763054948263515459304
62,-2.744648355015985887732914596319,-8.441193055518243588154991402505,28.801488725146538594774925989080
63,-3.281798894571382454085604149505,-8.341133823537668251308457743249,28.293557201358866579025370863084
64,-3.759015780522469185516892981175,-8.256173178980315911793957726739,27.837701914909422807439098654236
65,-4.183572516357682375028557450949,-8.188853640077699936463400295886,27.427718069421090920549529042344
66,-4.562235861604147559966758261912,-8.140604523096955188749621657130,27.058560561182111385434668491529
67,-4.901222950600733984385111432252,-8.112034477795484614250540099493,26.726187140827489766203454225150
68,-5.206186538128880658501859533463,-8.103148922853327475922742312653,26.427405796912249414288108712662
69,-5.482219448653072213824241727047,-8.113510296338956208196802667348,26.159734295954884481740024782089
70,-5.733871664485039108809439563262,-8.142355093526396255847389783886,25.921275209997344634780627269063
71,-5.965175278657470471018819334070,-8.188678391214784222620049715864,25.710607015955388332528908895819
72,-6.179673880511687833760328051390,-8.251293972684848754847181387599,25.526690310482880294157452700472
73,-6.380453940845919536398478635880,-8.328876193596094542730924409117,25.368787407107032977371736885468
74,-6.570176504639837666563507145002,-8.419988258340386244917427170392,25.236393275783487709178787832685
75,-6.751108049972180354945841430022,-8.523100500767593507012139146458,25.129175759076497618875765768470
76,-6.925149782829149901489369214718,-8.636601488399841128413360957601,25.046923134144285659445081921368
77,-7.093864947090037257142370797194,-8.758804217969282163446319540504,24.989497312212573017278041328146
78,-7.258503964928078677413745666120,-8.887949281263874364519030007572,24.956791234037894556079338323130
79,-7.420027405246094031016686715927,-9.022206606235853602859252637311,24.948689306996507231071206416474
80,-7.579126920729704135545777093627,-9.159677181858429902288985980339,24.965030024664068690807017254443
81,-7.736244407288556981039609177542,-9.298396026549394760388253744892,25.005570207536718410336268593272
82,-7.891589729229408664060581947083,-9.436337534582935571320396545760,25.069950601447074310901461029009
83,-8.045157422889975344779897431752,-9.571424211878312246374374030087,25.157662866318679338944380076104
84,-8.196742841906196855420183009801,-9.701539673711986798677015703866,25.268018278838495118410117071477
85,-8.345958238307482010311646347015,-9.824546606587163023448274220377,25.400118752254125083763613529702
86,-8.492249283445646951997184491688,-9.938310181979269305652180891742,25.552831034928098538363993579105
87,-8.634912518712181279336679831872,-10.040727142121084063002893489607,25.724765172483970103738430332798
88,-8.773114185088332018830698859729,-10.129760453836152478438108893492,25.914258488455073649307453626110
89,-8.905910810071929610050590837722,-10.203479048970297434892293096704,26.119366434525421047623370875590
90,-9.032271828669263092530568583047,-10.260101750844866992572868676533,26.337861661966726615665348781991
91,-9.151104381887392054841011190134,-10.298044046341138605841673352584,26.567242550699374021831486513172
92,-9.261280273930765257638368773504,-10.315965933137702498951507125013,26.804752186708154087237781722457
93,-9.361664883591656237769958539429,-10.312818689882398019232987904575,27.047408396531022251243095256772
94,-9.451147625063273180443415696062,-10.287888127665993490146711011080,27.292044936127418106693791937548
95,-9.528673350950626720084683860521,-10.240831728878372809528770571213,27.535363313042322178262456165020
96,-9.593273900851524092946025125412,-10.171707104042762089718245052847,27.773994034453098241060053997429
97,-9.644098839578155986270751334528,-10.080989426375260877218873900183,28.004565373808335566504666299057
98,-9.680444317127432719084993231700,-9.969575947170949817388442758258,28.223777101007623971948956770692
99,-9.701778933302725537305670398494,-9.838776339079589721450840380065,28.428476095553232632672125956145
100,-9.707765514878691416939499605750,-9.690288420065515665042983949689,28.615730424516603018181314813926
101,-9.698277817867924863607198515867,-9.526159715935526354871607630506,28.782898369045356046846557370424
102,-9.673411349892544788351054575744,-9.348736243527841946818301672579,28.927689053051132193808629937822
103,-9.633487758034456224442114316297,-9.160600751257963063154770036997,29.048211765075441461199969430081
104,-9.579052528532533095081786266080,-8.964503353092572379087250754644,29.143011737346661664253728781957
105,-9.510866073146032899747361888442,-8.763287965553456961100568916393,29.211090994570256322534673137227
106,-9.429888606372805662145186654768,-8.559818159452330986047865276229,29.251913828005602637591822534512
107,-9.337259521129730337774234562617,-8.356905954423427017260412902510,29.265397396875705429968476306474
