steps,x,y,z
0,0,1,1
1,0.0951058274744270850612620771258,1.00306240736463581596227268022,0.974164602403670146051062328496
2,0.182654685403196443901907564111,1.03060238803073835403556479662,0.949930066637208450966434192253
3,0.265600199216850278976370658413,1.08079245713775589504690444187,0.927272596857615618443082539102
4,0.346478080311028995008637565434,1.1525519209829892912366755553,0.906247146051378914960450217109
5,0.427511753980713787512413226466,1.24544392195392199934600441225,0.886979919494584053731023320921
6,0.510699429913725780685873623099,1.35959834481131150787924788403,0.86966893833195698260835060367
7,0.597886612404832518651021100453,1.49565599646580355518155069916,0.854591150409611604102377846459
8,0.690827274962849186522306776936,1.65473035783223222476567837447,0.842115482875587471715828069563
9,0.791236299991325118044493969194,1.83838390228647421097141201329,0.832721901051625406665890327673
10,0.900835277342541682760179710954,2.04861649792412763015914123343,0.827027077375507182858960231187
11,1.02139333871482739825309327131,2.28786377073746545127153062538,0.82581775497526467046116582793
12,1.15476435416621815537030482091,2.55900350414387453557019114214,0.83009336277624672702918351419
13,1.30292151037497242957452492362,2.86536817648020655444063287121,0.841119938495963293152712925149
14,1.46799000603593690107706581927,3.21076156715365874580458971366,0.860497967206181629817862699383
15,1.65227831513345409936155405717,3.59947695113171834899179479805,0.890247361006311671745294678004
16,1.85830815799355976956908076403,4.03631368470098547684976608707,0.932913491856398667360916743263
17,2.08884295208378226865741922325,4.52658786874842575254085375036,0.991698927910502675032999864158
18,2.34691405091973878324629332326,5.07613112979445745692741454036,1.07062626622588914077072175246
19,2.63584347095101329330746331436,5.69126921231273048135124170699,1.17473810379133827494491093546
20,2.9592609898896055364847512692,6.37876881099496421956285274746,1.31034056590587947438431015712
21,3.32111239569742755853298810109,7.14573662765726795587095665496,1.48529661030141605336518662028
22,3.72565417478867770550987614797,7.99944872903633748262297586962,1.7093740463569425062223539058
23,4.17742793526251841862428904051,8.94708065005643186917705378391,1.9946500616059066515045605783
24,4.68120524230913853669377999722,9.99529921107901413168672632992,2.35596783203044374266355021064
25,5.24189018947914443791180616472,11.1496659279351742199981600834,2.81142975778741781300862356829
26,5.86436289633696313655653042929,12.4137901551130247629339820037,3.38289359118709665949498166526
27,6.55324232117758730120637977734,13.7881600473757807145958054207,4.09640910824573260123893092555
28,7.31254173307005897464172505806,15.2685757167237510512070031155,4.9824905300933086879644484668
29,8.14518589450892954717531324604,16.8441199030202304887104958198,6.07606069289380425202384827799
30,9.05235738942521563077381330231,18.4946404542033550622015525278,7.41582677831402792278936431103
31,10.0326438936279036945320441987,20.1878052482497141184580868867,9.04276087529004443665847645661
