index,base,input,MPFR,Posit64,Double,winner
0,0.516257,0.900737,0.551274543905148911,0.000438633971771005,0.551274543905148962,Double
1,0.409172,0.853931,0.466223405254479007,-0.346034173293978482,0.466223405254479029,Double
2,0.51218,0.555448,0.689603618407065952,-18972.7778097458133288,0.689603618407065966,Double
3,0.462447,0.553029,0.652784085258688053,nar,0.652784085258688029,Double
4,0.236614,0.0746403,0.898003798619025581,0.184954639683699849,0.898003798619025573,Double
5,0.379028,0.895385,0.419515789989780495,nar,0.419515789989780508,Double
6,0.618745,0.560304,0.764158411666084399,nar,0.764158411666084447,Double
7,0.987673,0.929277,0.988539605003546686,nar,0.988539605003546651,Double
8,0.201313,0.817539,0.269704786636166802,-147.970082138658054927,0.269704786636166816,Double
9,0.416975,0.785568,0.503003147106348515,-1.999885121593225078,0.503003147106348525,Double
10,0.419998,0.292581,0.775834366624990487,nar,0.775834366624990501,Double
11,0.722835,0.899565,0.746786969075615684,nar,0.746786969075615703,Double
12,0.378213,0.609988,0.552616881130371347,nar,0.552616881130371329,Double
13,0.63056,0.780108,0.697854270239686424,-63385.3271174191795581,0.697854270239686381,Double
14,0.705887,0.919151,0.726047099661110583,-0.083443027518443536,0.726047099661110584,Double
15,0.0523676,0.992592,0.053524378388740485,2.868056137782534615,0.053524378388740489,Double
16,0.932166,0.346983,0.975921215468740577,-1545885.12316266383277,0.975921215468740555,Double
17,0.648887,0.516976,0.799642701673558390,95.785622991571580664,0.799642701673558443,Double
18,0.302196,0.474053,0.567059779769779629,-5.970385977574022813,0.567059779769779615,Double
19,0.855338,0.262926,0.959748035995541110,0.001188049298029127,0.959748035995541149,Double
20,0.601776,0.648574,0.719361821924870119,6.393178562259575946,0.719361821924870082,Double
21,0.158532,0.945337,0.175323659548062175,-0.004218669786569061,0.175323659548062172,Double
22,0.819741,0.864277,0.842156314206351899,nar,0.842156314206351952,Double
23,0.966469,0.689367,0.976762609507710282,nar,0.976762609507710322,Double
24,0.964056,0.187655,0.993154258877830862,nar,0.993154258877830820,Double
25,0.534958,0.691165,0.648969088388587095,0.066901195853576342,0.648969088388587134,Double
26,0.834673,0.896508,0.850430809940450340,nar,0.850430809940450394,Double
27,0.118276,0.867092,0.157078619201473888,0.187743660222679297,0.157078619201473896,Double
28,0.39258,0.109437,0.902736220120250059,2.812987704484953475,0.902736220120250010,Double
29,0.93417,0.960777,0.936668009877060035,0.815628652417945827,0.936668009877060004,Double
30,0.21613,0.18309,0.755428025489507781,nar,0.755428025489507826,Double
31,0.237055,0.593196,0.425758181413214181,nar,0.425758181413214198,Double
32,0.61596,0.743346,0.697532960683314213,nar,0.697532960683314163,Double
33,0.378721,0.44225,0.650896346103032522,0.001508164977745846,0.650896346103032486,Double
34,0.660227,0.376285,0.855368929732966860,-0.415846921891404065,0.855368929732966854,Double
35,0.986562,0.00832004,0.999887444053010167,-26485.6616005575428971,0.999887444053010221,Double
36,0.448985,0.617016,0.610128465859625853,nar,0.610128465859625879,Double
37,0.603579,0.179036,0.913573680185829135,nar,0.913573680185829184,Double
38,0.467077,0.729925,0.573691755527556063,-30.962667796519274809,0.573691755527556024,Double
39,0.761105,0.973127,0.766708376902264681,-26770.8276162489382841,0.766708376902264677,Double
40,0.17849,0.0571999,0.906134012891833924,nar,0.906134012891833929,Double
41,0.918307,0.829829,0.931721656538554384,nar,0.931721656538554432,Double
42,0.248572,0.282479,0.674881875041247837,nar,0.674881875041247858,Double
43,0.509887,0.388684,0.769661516048251820,16956.046363963756221,0.769661516048251837,Double
44,0.969379,0.477551,0.985257895877792423,-532.666068201108387825,0.985257895877792444,Double
45,0.66706,0.041563,0.983312936426583770,-1418.20207080482553863,0.983312936426583795,Double
46,0.853946,0.814437,0.879335212241395107,-0.000277429382784723,0.879335212241395103,Double
47,0.220227,0.807075,0.294881172052159009,nar,0.294881172052159024,Double
48,0.274591,0.277233,0.698852161805749144,-0.078083245611186895,0.698852161805749161,Double
49,0.501507,0.786084,0.581289727017670084,nar,0.581289727017670121,Double
50,0.83563,0.194415,0.965691347890101400,nar,0.965691347890101359,Double
