index,base,input,MPFR,Posit64,Double,winner
0,0.54101,0.481899,0.724512944407589927,0.724512944407589953,0.724512944407589954,Posit
1,0.551149,0.289444,0.622529935709004946,0.622529935709004944,0.622529935709004945,Double
2,0.031473,0.400799,0.402032874071477325,10.394038385405552915,0.402032874071477309,Double
3,0.857791,0.678477,1.093680211705280867,1.093680211705280846,1.093680211705280847,Double
4,0.969274,0.707,1.199725885302070647,1.199725885302070693,1.199725885302070694,Posit
5,0.7939,0.825929,1.145616350705365225,1.145616350705365160,1.145616350705365161,Double
6,0.573364,0.684569,0.892961269451812144,0.892961269451812200,0.892961269451812201,Posit
7,0.40236,0.231909,0.464409113079501891,0.464409113079501889,0.464409113079501890,Double
8,0.511537,0.689648,0.858653126441350359,0.858653126441350389,0.858653126441350389,EQUAL
9,0.310169,0.538894,0.621780577652343635,0.621780577652343624,0.621780577652343625,Double
10,0.853608,0.964311,1.287844210215661223,1.287844210215661311,1.287844210215661311,EQUAL
11,0.217473,0.0322345,0.219848862369583076,5.834553160458822773,0.219848862369583065,Double
12,0.337103,0.210205,0.397270884360635825,0.397270884360635845,0.397270884360635845,EQUAL
13,0.258434,0.188689,0.319986657218466257,0.319986657218466252,0.319986657218466253,Double
14,0.560195,0.485074,0.741023164005130999,0.741023164005131018,0.741023164005131019,Posit
15,0.111459,0.220275,0.246868514636306536,0.246868514636306546,0.246868514636306546,EQUAL
16,0.755413,0.694601,1.026216169768205437,1.026216169768205510,1.026216169768205511,Posit
17,0.349431,0.250414,0.429894521808966414,0.429894521808966423,0.429894521808966423,EQUAL
18,0.514722,0.84391,0.988495595049058048,0.988495595049058040,0.988495595049058040,EQUAL
19,0.0593398,0.651034,0.653732485164204512,16.000494071485928060,0.653732485164204569,Double
20,0.47718,0.975036,1.085539975081552330,1.085539975081552199,1.085539975081552200,Double
21,0.686582,0.718061,0.993481969467384653,0.993481969467384651,0.993481969467384651,EQUAL
22,0.410763,0.860452,0.953469561897386370,0.953469561897386408,0.953469561897386408,EQUAL
23,0.316025,0.664383,0.735715250305581292,0.735715250305581380,0.735715250305581381,Posit
24,0.0893826,0.104106,0.137212827334168414,0.137212827334168424,0.137212827334168425,Posit
25,0.0396414,0.507248,0.508794142264811877,13.679964453990583805,0.508794142264811899,Double
26,0.37677,0.0627207,0.381955110748262864,9.705107152663281055,0.381955110748262827,Double
27,0.805745,0.978898,1.267858622452786770,1.267858622452786798,1.267858622452786799,Posit
28,0.22993,0.416573,0.475816264165393603,0.475816264165393576,0.475816264165393632,Posit
29,0.990716,0.214438,1.013657362294395876,1.013657362294395847,1.013657362294395847,EQUAL
30,0.865059,0.0311549,0.865619407875798581,29.387627744121317618,0.865619407875798608,Double
31,0.706464,0.130181,0.718358085102756407,0.718358085102756449,0.718358085102756450,Posit
32,0.524264,0.571438,0.775496000075754910,0.775496000075754920,0.775496000075754921,Posit
33,0.105046,0.747313,0.754660212660566168,0.754660212660566154,0.754660212660566154,EQUAL
34,0.78402,0.89886,1.192743738699211668,1.192743738699211686,1.192743738699211686,EQUAL
35,0.292698,0.0967264,0.308265971340469412,0.308265971340469402,0.308265971340469402,EQUAL
36,0.941515,0.800452,1.235789270146237796,1.235789270146237850,1.235789270146237850,EQUAL
37,0.0990687,0.145142,0.175729728975785957,0.175729728975785953,0.175729728975785954,Double
38,0.741242,0.689495,1.012345203567095813,1.012345203567095897,1.012345203567095897,EQUAL
39,0.160813,0.286889,0.328886519641993576,0.328886519641993557,0.328886519641993558,Double
40,0.820675,0.884527,1.206604935795742725,1.206604935795742683,1.206604935795742684,Double
41,0.290421,0.00813681,0.290534641243622593,7.421360915806682889,0.290534641243622604,Double
42,0.289094,0.402558,0.495608878650086555,0.495608878650086515,0.495608878650086515,EQUAL
43,0.900749,0.455977,1.009585863530967167,1.009585863530967131,1.009585863530967131,EQUAL
44,0.0150516,0.306875,0.307244073472702808,7.704344775503068731,0.307244073472702828,Double
45,0.43126,0.779146,0.890535228166292905,0.890535228166292935,0.890535228166292936,Posit
46,0.451847,0.554182,0.715040904468863619,0.715040904468863591,0.715040904468863592,Double
47,0.726879,0.432033,0.845580512384827365,0.845580512384827343,0.845580512384827343,EQUAL
48,0.550623,0.788452,0.961687289908188381,0.961687289908188303,0.961687289908188303,EQUAL
49,0.595217,0.399654,0.716942355961094207,0.716942355961094235,0.716942355961094235,EQUAL
50,0.720761,0.923522,1.171490455576956050,1.171490455576956080,1.171490455576956080,EQUAL
51,0.971588,0.0560547,0.973203551222414150,40.394333001808888639,0.973203551222414087,Double
52,0.42508,0.918776,1.012345142293152207,1.012345142293152200,1.012345142293152200,EQUAL
53,0.308105,0.920924,0.971097656206285446,0.971097656206285519,0.971097656206285409,Double
54,0.837799,0.58883,1.024025549249734196,1.024025549249734323,1.024025549249734324,Posit
55,0.794636,0.60689,0.999880748277375968,0.999880748277375941,0.999880748277375941,EQUAL
56,0.984914,0.878162,1.319554614972797616,1.319554614972797468,1.319554614972797690,Double
57,0.360878,0.538389,0.648148232431875521,0.648148232431875581,0.648148232431875471,Double
58,0.982393,0.442898,1.077615554839825973,1.077615554839825851,1.077615554839825851,EQUAL
59,0.599716,0.00604614,0.599746644820061896,15.103420726735404144,0.599746644820061903,Double
60,0.786779,0.449957,0.906357320391619720,0.906357320391619758,0.906357320391619758,EQUAL
61,0.208378,0.743394,0.772046821979434821,0.772046821979434749,0.772046821979434750,Double
62,0.857032,0.943317,1.274500613014122667,1.274500613014122762,1.274500613014122763,Posit
