index,input,MPFR,Posit64,Double,winner
396,1.88342,3.364011237497412704,1.354833814423647251,3.364011237497412488,Double
397,1.90594,3.437201794985277100,7.409255279175781860,3.437201794985277115,Double
398,1.70494,2.841415302551420148,-1.485947583388131513,2.841415302551419941,Double
399,1.05465,1.609648020971734291,-29848.1948166558568118,1.609648020971734317,Double
400,1.1943,1.802079907326380846,51.836411002376227008,1.802079907326380903,Double
401,1.30342,1.976729693994531518,273.677789141018774188,1.976729693994531578,Double
402,1.67182,2.754872221406463532,-1.912163582449461473,2.754872221406463595,Double
403,1.30757,1.983820921084897081,-1067.81593063541237854,1.983820921084897160,Double
404,1.56419,2.494018584223894994,431.028233106535848762,2.494018584223895107,Double
405,1.38535,2.123237832902178657,-11.253561612622918264,2.123237832902178823,Double
406,1.26863,1.918592363883861918,-100.399574536340055797,1.918592363883862006,Double
407,1.94663,3.573896193606249164,-3.630064017871084680,3.573896193606249216,Double
408,1.96395,3.633854082518172666,3.972645382776671244,3.633854082518172657,Double
409,1.33988,2.040232050733359616,-1.000498912135525499,2.040232050733359781,Double
410,1.85608,3.277455791661211664,1.104747582793126427,3.277455791661211482,Double
411,1.58424,2.540354263541017906,-90.198982051039978458,2.540354263541017676,Double
412,1.14786,1.734379580796957038,1.918070950993239341,1.734379580796957088,Double
413,1.03327,1.583044701052341309,-44.141699283549295618,1.583044701052341408,Double
414,1.85427,3.271787357770887744,-6.096136602743576139,3.271787357770887805,Double
415,1.05015,1.603980688369458752,-832.513027321526305258,1.603980688369458729,Double
416,1.86762,3.313675724917146940,5.636967704045187189,3.313675724917146681,Double
417,1.13294,1.713433482397805448,-3.019493005314574270,1.713433482397805463,Double
418,1.16212,1.754755992061281115,24.753207337908869734,1.754755992061280967,Double
419,1.25422,1.895204851949758578,-6.492525568483381602,1.895204851949758629,Double
420,1.51112,2.376233677726434070,1500.67913584706640506,2.376233677726434124,Double
421,1.9814,3.695374814943312623,-1.299245247084474818,3.695374814943312991,Double
422,1.78277,3.057243555373563176,-2.519747639644302431,3.057243555373563293,Double
423,1.84864,3.254315188481237716,112.06151081739820663,3.254315188481237797,Double
424,1.87054,3.322927474852870785,-28558.1382791395262757,3.322927474852870766,Double
425,1.22533,1.849481217758926611,-436.93973118024488933,1.849481217758926599,Double
426,1.90634,3.438524478920717633,1.012939626229698089,3.438524478920717442,Double
427,1.66268,2.731534791227533695,-1.000885563327531273,2.731534791227533621,Double
428,1.98052,3.692256307433903680,1.050528543655211042,3.692256307433903650,Double
429,1.85071,3.260724208374605242,1.434384920245419857,3.260724208374605304,Double
430,1.3318,2.025933181073131194,-4.077344300567259431,2.025933181073131362,Double
431,1.73173,2.913712635175023947,1.069228628038388237,2.913712635175023991,Double
432,1.86582,3.307985286056998790,1.210062149551918396,3.307985286056998930,Double
433,1.01538,1.561333927231772033,6.924209531054928493,1.561333927231771890,Double
434,1.36413,2.083957594021056114,1.123064039845554532,2.083957594021056181,Double
435,1.83084,3.199696899521508610,-41.846816281577834284,3.199696899521508708,Double
436,1.5888,2.551012846195548018,-890.82232438516931694,2.551012846195547912,Double
437,1.31798,2.001767974017207896,-5.415022184071796050,2.001767974017207852,Double
438,1.29887,1.969004299034505812,-30.948818193999512449,1.969004299034505800,Double
439,1.82686,3.187633292189996728,927.003191125788102767,3.187633292189996581,Double
440,1.2676,1.916904726910198923,-7.528068205560428882,1.916904726910199086,Double
441,1.91006,3.450780522703279102,-4.450239995369396496,3.450780522703279285,Double
442,1.3113,1.990226852813679262,-5.516678007519092839,1.990226852813679281,Double
443,1.47978,2.309824388481834657,-49.870894612017421798,2.309824388481834578,Double
444,1.86632,3.309590076823441524,-123.927807125689267709,3.309590076823441418,Double
445,1.15444,1.743735014092792893,171.142975846758563563,1.743735014092792968,Double
446,1.57329,2.514935991328074940,2.835444342076848436,2.514935991328074660,Double
447,1.37334,2.100886966294928338,15.982431667221103643,2.100886966294928104,Double
448,1.97856,3.685285917675305334,-3.030552953214205230,3.685285917675305445,Double
449,1.42442,2.198049313379389909,1846.36068432764221825,2.198049313379389691,Double
450,1.88555,3.370854127304468178,97.700465812772746776,3.370854127304468317,Double
451,1.60872,2.598270806703969228,-570.276717639188380105,2.598270806703969260,Double
452,1.21407,1.832072532813396182,6.686438989616358762,1.832072532813396215,Double
453,1.37861,2.110657801326610472,1585.27587650068071667,2.110657801326610628,Double
454,1.62938,2.648385744506081414,4.845886203284705033,2.648385744506081441,Double
455,1.7944,3.091033933743971528,-8.541278004242020563,3.091033933743971396,Double
456,1.06834,1.627055177863382631,1.058288791233010785,1.627055177863382607,Double
457,1.5152,2.385055971662473724,3.470089376798145566,2.385055971662473517,Double
458,1.58117,2.533195600785073763,-1.712651734435396637,2.533195600785073776,Double
459,1.37105,2.096662764382254383,-1303.82753741799620428,2.096662764382254185,Double
460,1.16454,1.758263297025394248,-4.098074387430079741,1.758263297025394412,Double
461,1.84191,3.233548187177841821,2.163747924652275014,3.233548187177841537,Double
462,1.03461,1.584681093712493684,-3.906273106396181030,1.584681093712493549,Double
463,1.47014,2.289865610358555161,1176.31996736798517134,2.289865610358555070,Double
464,1.07815,1.639732722975791365,1.042296154489411725,1.639732722975791424,Double
465,1.38645,2.125296397229246425,-28.102719791828754458,2.125296397229246459,Double
466,1.41026,2.170551334509478658,-3.549403126964113724,2.170551334509478902,Double
467,1.55322,2.469110923205542720,1.115665463081794686,2.469110923205542818,Double
468,1.89271,3.394006012734273546,226.384273308932960411,3.394006012734273714,Double
469,1.73602,2.925470518183767760,1.016866549371766664,2.925470518183767688,Double
470,1.82073,3.169148328400891457,7919.08755019776793915,3.169148328400891224,Double
471,1.32324,2.010927843747996350,-741937568.808920502663,2.010927843747996491,Double
472,1.11237,1.685170732226448211,123.729290162065408865,1.685170732226448198,Double
473,1.26549,1.913472344026058982,-28.114960008091478660,1.913472344026058813,Double
474,1.42992,2.208853631381892353,539.145252150930094359,2.208853631381892502,Double
475,1.50735,2.368112992152171670,-42.637073818005635117,2.368112992152171525,Double
476,1.91817,3.477693643042018220,119.992678402591932629,3.477693643042018223,Double
477,1.60265,2.583761057108478112,1.476571770396994585,2.583761057108477921,Double
478,1.70053,2.829707046585166984,-169.746695370593092544,2.829707046585166808,Double
479,1.52718,2.411167397454282996,-11.117779902434761565,2.411167397454283101,Double
