index,input,MPFR,Posit64,Double,winner
0,0.831967,0.681530773939377929,0.681530773939377887,0.681530773939377776,Posit
1,0.592132,0.531427578023356461,0.531427578023356469,0.531427578023356495,Posit
2,0.946098,0.738011650016308292,0.738011650016308278,0.738011650016308307,Posit
3,0.723423,0.619024891190663847,0.619024891190663898,0.619024891190663951,Posit
4,0.529979,0.485365374277649334,0.485365374277649269,0.485365374277649253,Posit
5,0.0489463,0.048907272939345908,0.048907272939345912,0.048907272939345908,Double
6,0.180789,0.178844386729726989,0.178844386729726976,0.178844386729726995,Double
7,0.982094,0.753970942046414665,0.753970942046414655,0.753970942046414683,Posit
8,0.33198,0.320299017781481312,0.320299017781481295,0.320299017781481343,Posit
9,0.111094,0.110639400477847245,0.110639400477847246,0.110639400477847247,Posit
10,0.788983,0.657832591856456783,0.657832591856456740,0.657832591856456816,Double
11,0.0401298,0.040108266048920072,0.040108266048920075,0.040108266048920073,Double
12,0.519531,0.477338281354352282,0.477338281354352204,0.477338281354352190,Posit
13,0.934758,0.732804539377452505,0.732804539377452546,0.732804539377452602,Posit
14,0.758705,0.640313421037087870,0.640313421037087877,0.640313421037087882,Posit
15,0.629187,0.557492161002481662,0.557492161002481685,0.557492161002481668,Double
16,0.548771,0.499598471776536689,0.499598471776536750,0.499598471776536768,Posit
17,0.95469,0.741899059371740245,0.741899059371740324,0.741899059371740277,Double
18,0.947952,0.738854428237459525,0.738854428237459616,0.738854428237459615,Double
19,0.566175,0.512544940360515264,0.512544940360515286,0.512544940360515233,Posit
20,0.276788,0.269929805573931989,0.269929805573931974,0.269929805573931980,Double
21,0.82253,0.676444782568482602,0.676444782568482561,0.676444782568482617,Double
22,0.857256,0.694840977317841502,0.694840977317841532,0.694840977317841446,Posit
23,0.0616481,0.061570159401095982,0.061570159401095982,0.061570159401095982,EQUAL
24,0.264146,0.258169257743480466,0.258169257743480455,0.258169257743480429,Posit
25,0.998224,0.760847415535782959,0.760847415535782971,0.760847415535782945,Posit
26,0.835813,0.683585038044176453,0.683585038044176530,0.683585038044176585,Posit
27,0.817022,0.673445929699526483,0.673445929699526438,0.673445929699526546,Posit
28,0.835567,0.683453648535835570,0.683453648535835473,0.683453648535835456,Posit
29,0.935975,0.733367533452958760,0.733367533452958862,0.733367533452958908,Posit
30,0.278132,0.271175504834135476,0.271175504834135470,0.271175504834135439,Posit
31,0.610289,0.544330601949818462,0.544330601949818376,0.544330601949818416,Double
32,0.312231,0.302465478937557186,0.302465478937557203,0.302465478937557208,Posit
33,0.783678,0.654812680251450040,0.654812680251450065,0.654812680251450119,Posit
34,0.78774,0.657126653402731557,0.657126653402731638,0.657126653402731686,Posit
35,0.261583,0.255775408463528843,0.255775408463528855,0.255775408463528864,Posit
36,0.922107,0.726892774366650132,0.726892774366650203,0.726892774366650229,Posit
37,0.465565,0.434608986558154768,0.434608986558154831,0.434608986558154831,EQUAL
38,0.35997,0.345187612559852707,0.345187612559852721,0.345187612559852697,Double
39,0.614956,0.547606112353712549,0.547606112353712505,0.547606112353712482,Posit
40,0.972815,0.749938620267926029,0.749938620267926064,0.749938620267926015,Double
41,0.949383,0.739503446766839965,0.739503446766839916,0.739503446766839878,Posit
42,0.328121,0.316831160516249316,0.316831160516249314,0.316831160516249322,Posit
43,0.294605,0.286368167729096540,0.286368167729096539,0.286368167729096512,Posit
44,0.469879,0.438101945066190248,0.438101945066190262,0.438101945066190268,Posit
45,0.920014,0.725903812095212795,0.725903812095212703,0.725903812095212708,Double
46,0.732871,0.624818901333711278,0.624818901333711251,0.624818901333711207,Posit
47,0.501977,0.463670641128914039,0.463670641128914009,0.463670641128913985,Posit
48,0.837575,0.684522681525068394,0.684522681525068464,0.684522681525068455,Double
49,0.78796,0.657251946402649686,0.657251946402649766,0.657251946402649723,Double
50,0.177407,0.175569240577771540,0.175569240577771524,0.175569240577771513,Posit
51,0.977016,0.751771415022899309,0.751771415022899330,0.751771415022899347,Posit
52,0.123305,0.122683893554911505,0.122683893554911510,0.122683893554911508,Double
53,0.439032,0.412841474294538595,0.412841474294538556,0.412841474294538602,Double
54,0.00592175,0.005921678244275286,0.005921678244275286,0.005921678244275286,EQUAL
55,0.178531,0.176658199875260155,0.176658199875260177,0.176658199875260186,Posit
56,0.927632,0.729488015409886861,0.729488015409886969,0.729488015409886947,Double
57,0.0400278,0.040006395818123342,0.040006395818123344,0.040006395818123347,Posit
58,0.826262,0.678463972214182378,0.678463972214182457,0.678463972214182420,Double
59,0.754565,0.637864626742583869,0.637864626742583895,0.637864626742583929,Posit
60,0.921152,0.726442153812207612,0.726442153812207713,0.726442153812207669,Double
61,0.9235,0.727548780272225101,0.727548780272225188,0.727548780272225137,Double
62,0.0470661,0.047031384614356347,0.047031384614356349,0.047031384614356353,Posit
63,0.171487,0.169825763581276454,0.169825763581276446,0.169825763581276434,Posit
64,0.604796,0.540453511338627055,0.540453511338627041,0.540453511338627068,Double
65,0.108375,0.107952503621204193,0.107952503621204196,0.107952503621204191,Double
66,0.33999,0.327468481903550927,0.327468481903550929,0.327468481903550934,Posit
67,0.423434,0.399819214014825975,0.399819214014825990,0.399819214014825952,Posit
68,0.312799,0.302981580318035708,0.302981580318035723,0.302981580318035737,Posit
69,0.342631,0.329824131674025881,0.329824131674025904,0.329824131674025911,Posit
70,0.597904,0.535556636293367125,0.535556636293367061,0.535556636293367028,Posit
71,0.789988,0.658402070934688452,0.658402070934688470,0.658402070934688388,Posit
72,0.197763,0.195224477725830849,0.195224477725830851,0.195224477725830847,EQUAL
73,0.819664,0.674886799977604002,0.674886799977603984,0.674886799977604035,Posit
74,0.743515,0.631264166069189973,0.631264166069190045,0.631264166069190003,Double
75,0.882085,0.707462213636480367,0.707462213636480388,0.707462213636480430,Posit
76,0.0162878,0.016286391718595198,0.016286391718595197,0.016286391718595198,Double
77,0.101502,0.101154962394109265,0.101154962394109262,0.101154962394109260,Posit
78,0.703882,0.606825956544599372,0.606825956544599413,0.606825956544599476,Posit
79,0.757141,0.639389992930724589,0.639389992930724637,0.639389992930724738,Posit
80,0.377653,0.360667287512833405,0.360667287512833381,0.360667287512833334,Posit
81,0.331574,0.319934071132585005,0.319934071132585010,0.319934071132584985,Posit
82,0.437772,0.411795985026246895,0.411795985026246956,0.411795985026246980,Posit
83,0.480362,0.446533395096882432,0.446533395096882460,0.446533395096882446,Double
84,0.247818,0.242866381721755321,0.242866381721755310,0.242866381721755314,Double
85,0.269518,0.263176592713605625,0.263176592713605646,0.263176592713605606,Double
86,0.339655,0.327169558312921770,0.327169558312921767,0.327169558312921716,Posit
87,0.669105,0.584390994935201652,0.584390994935201717,0.584390994935201746,Posit
88,0.381192,0.363741954991112391,0.363741954991112392,0.363741954991112393,Posit
89,0.935367,0.733086282288812876,0.733086282288812928,0.733086282288812896,Double
