index,input,MPFR,Posit64,Double,winner
0,0.0602186,0.245394796422494473,0.245394796422494482,0.245394796422494482,EQUAL
1,0.807629,0.898681832984027166,0.898681832984027151,0.898681832984027151,EQUAL
2,0.635512,0.797189962335953544,0.797189962335953516,0.797189962335953517,Double
3,0.14285,0.377955507492588139,0.377955507492588160,0.377955507492588161,Posit
4,0.76842,0.876595858534935926,0.876595858534935934,0.876595858534935934,EQUAL
5,0.237212,0.487043863874634925,0.487043863874634941,0.487043863874634941,EQUAL
6,0.292037,0.540404240847206962,0.540404240847206951,0.540404240847206951,EQUAL
7,0.272355,0.521876657260575743,0.521876657260575749,0.521876657260575749,EQUAL
8,0.724359,0.851092659790554532,0.851092659790554484,0.851092659790554484,EQUAL
9,0.369138,0.607567319655233165,0.607567319655233140,0.607567319655233140,EQUAL
10,0.82979,0.910928362786446575,0.910928362786446621,0.910928362786446622,Posit
11,0.317902,0.563828233900016074,0.563828233900016018,0.563828233900016018,EQUAL
12,0.0675255,0.259856637734763705,0.259856637734763695,0.259856637734763696,Double
13,0.443745,0.666141726542134740,0.666141726542134771,0.666141726542134771,EQUAL
14,0.476928,0.690599597777787458,0.690599597777787455,0.690599597777787455,EQUAL
15,0.0662222,0.257336679540848356,0.257336679540848378,0.257336679540848379,Posit
16,0.826084,0.908891535573270229,0.908891535573270181,0.908891535573270182,Double
17,0.690155,0.830755385919851230,0.830755385919851208,0.830755385919851208,EQUAL
18,0.893261,0.945124840627055053,0.945124840627055040,0.945124840627055041,Double
19,0.254207,0.504189487602962764,0.504189487602962782,0.504189487602962783,Posit
20,0.551426,0.742580889188426993,0.742580889188427017,0.742580889188427018,Posit
21,0.479021,0.692113220558798405,0.692113220558798425,0.692113220558798425,EQUAL
22,0.727913,0.853178262445974341,0.853178262445974389,0.853178262445974389,EQUAL
23,0.356938,0.597443004922858932,0.597443004922858955,0.597443004922858956,Posit
24,0.704727,0.839479912752365395,0.839479912752365442,0.839479912752365443,Posit
25,0.535444,0.731740583797639126,0.731740583797639176,0.731740583797639177,Posit
26,0.864724,0.929905586416804656,0.929905586416804652,0.929905586416804653,Double
27,0.588716,0.767278275028595817,0.767278275028595801,0.767278275028595802,Double
28,0.281192,0.530274998479783582,0.530274998479783543,0.530274998479783544,Double
29,0.353703,0.594729289201397639,0.594729289201397670,0.594729289201397671,Posit
30,0.284165,0.533071201145611414,0.533071201145611461,0.533071201145611462,Posit
31,0.637644,0.798526279770839195,0.798526279770839231,0.798526279770839231,EQUAL
32,0.537865,0.733392992219772371,0.733392992219772388,0.733392992219772388,EQUAL
33,0.695225,0.833801300884002682,0.833801300884002727,0.833801300884002727,EQUAL
34,0.670444,0.818806166591677190,0.818806166591677153,0.818806166591677154,Double
35,0.261683,0.511549848814414493,0.511549848814414453,0.511549848814414454,Double
36,0.415181,0.644345713438017191,0.644345713438017164,0.644345713438017165,Double
37,0.25315,0.503140364928707615,0.503140364928707617,0.503140364928707617,EQUAL
38,0.947866,0.973584200398563843,0.973584200398563859,0.973584200398563859,EQUAL
39,0.811318,0.900731817278004959,0.900731817278004998,0.900731817278004998,EQUAL
40,0.947736,0.973517518082048923,0.973517518082048893,0.973517518082048894,Double
41,0.0694394,0.263513475980944847,0.263513475980944822,0.263513475980944822,EQUAL
42,0.77758,0.881804759209774857,0.881804759209774857,0.881804759209774858,Posit
43,0.943785,0.971485921812569862,0.971485921812569874,0.971485921812569875,Posit
44,0.0716038,0.267588906151468900,0.267588906151468908,0.267588906151468908,EQUAL
45,0.936832,0.967900854297960640,0.967900854297960688,0.967900854297960689,Posit
46,0.64639,0.803983817009223224,0.803983817009223278,0.803983817009223278,EQUAL
47,0.398649,0.631386820893622387,0.631386820893622413,0.631386820893622414,Posit
48,0.914924,0.956516596200524437,0.956516596200524427,0.956516596200524427,EQUAL
49,0.420315,0.648317290872862710,0.648317290872862717,0.648317290872862717,EQUAL
50,0.856353,0.925393217690037863,0.925393217690037905,0.925393217690037906,Posit
51,0.896201,0.946678687913716980,0.946678687913717009,0.946678687913717010,Posit
52,0.325603,0.570616103231325724,0.570616103231325721,0.570616103231325722,Double
53,0.468028,0.684125911050982896,0.684125911050982860,0.684125911050982860,EQUAL
54,0.257157,0.507106080080293936,0.507106080080293897,0.507106080080293897,EQUAL
55,0.473575,0.688168061165773084,0.688168061165773115,0.688168061165773115,EQUAL
56,0.746368,0.863925800150537750,0.863925800150537770,0.863925800150537770,EQUAL
57,0.797175,0.892846731418830836,0.892846731418830863,0.892846731418830863,EQUAL
58,0.139404,0.373368616279429415,0.373368616279429410,0.373368616279429411,Double
59,0.656057,0.809973287200368244,0.809973287200368208,0.809973287200368208,EQUAL
60,0.32626,0.571192129967126771,0.571192129967126760,0.571192129967126760,EQUAL
61,0.0215764,0.146889202719196822,0.146889202719196809,0.146889202719196810,Double
62,0.631468,0.794649775229707165,0.794649775229707144,0.794649775229707145,Double
63,0.411665,0.641611014395771812,0.641611014395771839,0.641611014395771839,EQUAL
64,0.141145,0.375692705225038154,0.375692705225038170,0.375692705225038170,EQUAL
65,0.360442,0.600368414971020463,0.600368414971020447,0.600368414971020448,Double
66,0.136985,0.370114840898103247,0.370114840898103258,0.370114840898103259,Posit
67,0.774508,0.880061357932705881,0.880061357932705901,0.880061357932705901,EQUAL
68,0.612377,0.782545018498314214,0.782545018498314259,0.782545018498314260,Posit
69,0.111172,0.333425151713319599,0.333425151713319600,0.333425151713319601,Posit
70,0.529438,0.727624988179101675,0.727624988179101706,0.727624988179101706,EQUAL
